key,en,fr
TUTO_REWARDS_TARGETS_TESTLAB,"Take all 3 drop targets down to gain a reward corresponding to the number of lit lights.
1 - Centrifuges upgraded
2 - Activate jackpot (NOT YET IMPLEMENTED)
3 - Activate bonus (NOT YET IMPLEMENTED)
4 - Hold bonus (NOT YET IMPLEMENTED)",
MISSION_TARGETS,Mission Targets,
TUTO_MISSION_TARGETS,Hit those target when no mission is active to select one.,
LAB_LANES_TESTLAB,Lab Entry Lanes,
TUTO_LAB_LANES_TESTLAB,"The lanes through which balls will (re)enter the lab.
Lit all off them by triggering the rollover switches to upgrade the lab equipment.
Engaging the left/right flipper will respectively rotate the lights left/right.",
LAB_BUMPERS_TESTLAB,Lab Equipment,
TUTO_LAB_BUMPERS_TESTLAB,"Those are the lab bumpers, they will score and bounce the ball on impact.",
RETURN_LANES_TESTLAB,Return Lanes,
TUTO_RETURN_LANES_TESTLAB,"Pass through these lanes when lit to score 25 000 point in base score.
Roll over the top rollover to light the return lanes.",
OUT_LANES_TEST_LAB,Out Lanes,
TUTO_OUT_LANES_TEST_LAB,"Pass through these lanes when lit to gain an extra ball.
Lighting the 4th antidote light also lights those lanes.",
ANTIDOTE_SPILL_TESTLAB,Antidote Spill,
TUTO_ANTIDOTE_SPILL_TESTLAB,"Upon activation, the spill will attract all balls in its vicinity.
Activate the antidote tube when all 4 antidote lights are lit to turn it on and reset the tube.",
FUNDS_ROLLOVER_TESTLAB,Funds Rollover,
TUTO_FUNDS_ROLLOVER_TESTLAB,"Roll over them to get more fundings for your missions.
Funds will decay over time.",
MAGIC_PILL_TESTLAB,Magic Pill,
TUTO_MAGIC_PILL_TESTLAB,"NO SPRITE YET BUT FUNCTIONAL

This post helps preventing the draining of the ball.
It comes up for 60s when lighting up the third tunnel light.",
